question,answer,source,focus_area
What are the Treatment Options for Tinea Manuum?,"There are many different types of antifungal treatments that come in cream or pill forms for tinea manuum, a fungal infection of the hand. Whenever possible, it’s recommended to use creams as they have less chance of causing side effects or interacting with other medications compared to oral treatments.
We have numerous antifungal options and they are mostly equally effective. These options include allylamines (like terbinafine and naftifine), imidazoles (like clotrimazole, fluconazole, itraconazole, and ketoconazole), and others like butenafine and ciclopirox olamine.
Treatments usually last between 4 to 6 weeks. However, some newer options, like luliconazole and econazole, can take less time, about 2 to 4 weeks.
Some antifungal creams have particular benefits. For instance, bifonazole has anti-inflammatory effects and clotrimazole and isoconazole have antibacterial properties, making them a good choice in certain situations. Nystatin is another antifungal that is effective against a type of fungus called candida, but it doesn’t work for the dermatophytes that cause tinea manuum, so it’s not recommended for this condition.
There are some cases where oral antifungal medication may be necessary. These include instances where the infection has spread to the nails or more than one body area (like “two-foot, one-hand syndrome”), when the person’s immune system is suppressed, if the infection keeps coming back, or if the creams aren’t working. The oral medications used in these cases are typically terbinafine and itraconazole, which both have similar cure rates.
The use of corticosteroids, which help to reduce inflammation, is a bit controversial. They can help with severe symptoms like itchiness or burning, and may assist some patients in adhering to the treatment. However, if corticosteroids are used, they should only be used for the first week of treatment and should be given at the same time as the antifungal therapy.",National Library of Medicine - NIH (National Institutes of Health),Tinea Manuum atau kurap tangan
What else can Tinea Manuum be?,"When trying to diagnose tinea manuum, which is a skin issue, doctors have to consider several other conditions that can cause similar symptoms. These conditions could involve different skin issues, bacterial infections, viral infections, or other fungal infections. Some of the conditions that need to be considered are:
- Psoriasis: This is often seen on both sides of the body and can result in thickened skin on the palms and soles. It can also lead to patches of unaffected skin, small fluid-filled sacs, holes in the nails, and noticeable oil spots.
- Dyshidrotic eczema: This results in small fluid-filled sacs on the edges of fingers, toes, palms, and soles. These can be very itchy and may be brought on by stress or allergies that occur during certain times of the year.
- Contact dermatitis: There are two types of contact dermatitis – irritant and allergic. Both of them can result in red and itchy skin lesions that affect the palms and backs of hands, usually on both sides. People might notice these skin lesions after coming into contact with a foreign substance like poison ivy or nickel.
- Dermatophyte infections: Inflammatory, blister-causing dermatophyte infections can be mistaken for herpetic whitlow (a type of herpes simplex infection), bacterial impetigo that also causes blisters, or cellulitis, a bacterial skin infection.",National Library of Medicine - NIH (National Institutes of Health),Tinea Manuum atau kurap tangan
What to expect with Tinea Manuum?,"Getting the right diagnosis and following the appropriate treatment plan is very important to cure fungal infections properly. Sometimes, treatments could take several weeks to complete, so not sticking to the treatment plan is a common reason why the treatment might not work.
There’s always a worry that the infection could come back or reoccur after treatment. In some cases, the infections could also come from carriers who don’t have any symptoms, like family members or pets. This needs to be checked.
Additional therapies might be needed to fully manage the infection in patients who don’t respond to the initial treatment and the carriers. Methods to clean and disinfect should be used to keep the infection from spreading through touching infected objects.",National Library of Medicine - NIH (National Institutes of Health),Tinea Manuum atau kurap tangan
What are the Possible Complications When Diagnosed with Tinea Manuum?,"Most problems generally occur due to delays in seeing a doctor or getting a diagnosis for skin conditions. Sometimes, people might only get a medical check-up months or even years after they first notice the skin issue.
Other complications can include a secondary bacterial infection and inflammation of the lymphatic vessels, particularly in instances of tinea manuum – a skin infection – that originates from animals.
Sometimes, people can have allergic skin reactions from the use of topical imidazole antifungal creams, although this is rare.
In a recent case, a patient with tinea manuum and skin irritation from contact with specific substances developed difficulties in bending their fingers due to disuse.
Common Complications:
- Delayed consultations or diagnoses
- Secondary bacterial infections
- Inflammation of the lymphatic vessels
- Allergic skin reactions to antifungal creams
- Difficulty in bending fingers due to disuse",National Library of Medicine - NIH (National Institutes of Health),Tinea Manuum atau kurap tangan
How can Tinea Manuum be prevented?,"Teaching patients about the following things is really important:
* Hand Washing: Washing your hands often can help get rid of harmful germs that are on your hands.
* Avoid Scratching: If you have a foot fungus, like onychomycosis, try not to scratch it or touch it too much.
* Preventing Tinea Pedis: This is another word for athlete’s foot, and stopping it in time can keep it from spreading to your hands.
* Check Your Contacts: If you’ve been in contact with others who might have these conditions, identifying and treating them can help stop the spread.
* Follow Your Plan: It’s really important to stick with your doctor’s treatment plan and not try to treat yourself with skin creams or antibiotics. These extra treatments that aren’t part of your plan can actually make it harder for your doctor to figure out what’s going on.",National Library of Medicine - NIH (National Institutes of Health),Tinea Manuum atau kurap tangan
What is Tinea Barbae?,"Dermatophytes are types of fungi that attack tissues containing a protein known as keratin, found in skin, hair and nails. An infection caused by these fungi is known as dermatophytosis, commonly called a “tinea” infection. These fungi primarily feed on keratin, which is why they don’t infect the mucosal surfaces that lack this protein. Dermatophyte infections can occur on any surface of your body that has keratin, from your scalp down to your toes. These infections are named based on the body part they affect.
One rare type of dermatophyte infection, Tinea barbae, largely affects the beard and mustache area, including the hair and hair follicles. First identified by a researcher named Gruby in 1842, this condition was noticed as fungus forming a protective layer around hair in the beard area. Gruby called this fungus “mentagrophyte”, meaning “plant of the chin”. This infection often inflames the hair follicles, leading it to also be referred to as tinea sycosis. It has additionally been known as barber’s itch or beard ringworm, on account of its historical association with unsanitary razors used by barbers.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
What Causes Tinea Barbae?,"People get dermatophyte infections, a type of fungal infection, by coming into direct contact with infected people or animals, or through soil. This type of infection includes a specific condition known as tinea barbae, which only comes from contact with infected animals or people.
Several different types of fungi can cause these infections, but the most common are Trichophyton verrucosum, Trichophyton mentagrophytes, and Trichophyton rubrum. There are a few other, less common types of fungus that can also cause these infections.
Until the year 2000, most reported cases of tinea barbae were traced back to animals, particularly farm and domestic animals like dairy cows, sheep, pigs, horses, dogs, and cats. However, more recent reports show that the Trichophyton rubrum fungus, which passes from person to person, is becoming a frequent cause of these infections. According to some cases recorded in Portugal and Mexico, tinea barbae can sometimes be transmitted from one person to another, but this is rare.
There have even been a few cases where patients with a foot infection, known as tinea pedis, were able to transmit the infection to their own beards. This process is known as ‘autoinoculation’.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
What are the Risk Factors and Frequency for Tinea Barbae?,"Tinea barbae is a specific type of skin fungus infection that’s not very common, despite the fact that skin fungus infections in general are quite common around the world. It was first recorded in 1842, and since then, there have been only around 150 cases reported until 1990. Most reports after 1990 are isolated incidents or small groups of cases.
Because it’s quite rare, it’s hard to say how frequently it occurs or how many people might get it in their lifetime. The fungus that causes it can be found all over the world, and reported cases of tinea barbae have come from various countries. Tinea barbae affects the hair and hair follicles in the beard and mustache area, so it’s only seen in boys who are old enough to grow facial hair and in men. However, there has been an extremely rare case reported in a woman from Portugal who had a significant amount of facial hair.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
What are the Signs and Symptoms of Tinea Barbae?,"Tinea barbae is a relatively uncommon skin infection caused primarily by a type of fungus known as zoophilic fungi. Its diagnosis can be helped by understanding the disease well and looking at the patient’s history, including their occupation, contact with pets or farm animals, and conditions such as diabetes mellitus, past injuries, use of steroids, and immunosuppressant therapy. All these factors might impact the local defense mechanisms against the fungus. It’s also important to check if the patient or their close contacts have a history of similar fungal infections like tinea capitis, tinea pedis, etc.
Tinea barbae has two main forms, one that causes inflammation and another that doesn’t. The former is linked to zoophilic dermatophytosis, a group of fungus that primarily infects animals. The latter is associated with anthropophilic dermatophytosis, the fungi that typically infect humans.
- The inflammatory form of tinea barbae causes a distinct lesion known as a kerion, which is a reddish, tender, boggy, often weeping lump or patch of skin with pustules and draining sinuses. The hair in these affected parts loses its shine, becomes brittle, and is easily plucked. The kerion can be solitary or multiple but usually affects just one side. Symptoms may extend beyond the skin and include fever and fatigue. Rarely, these lesions can become super-infected with skin bacteria and cause swollen lymph nodes.
- Non-inflammatory tinea barbae is a form of skin infection that causes itching. It presents as a diffusely red, scaly patch with pustules nearby hair follicles. Occasionally, its customarily flat, scaly patches with central clearing can appear similar to facial ringworm, characterized by a ring-shaped border consisting of vesicles and pustules.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
How is Tinea Barbae tested?,"Tinea barbae, a fungal infection that affects the hair and skin, is mainly diagnosed by closely examining its symptoms and understanding its typical traits. Understanding the patient’s history and conducting a thorough physical examination will also contribute to an early diagnosis. Because the common treatment for tinea barbae requires the use of antifungal medication over a long period of time – which could lead to side effects – confirming the diagnosis is essential.
Doctors often confirm the diagnosis by either examining skin scrapings from the infected area under a microscope or by using a special ultraviolet light called a ‘Wood’s lamp’ to inspect the affected area. However, the latter method may have limited usefulness since only a certain type of dermatophyte (fungus) that causes tinea barbae, known as Microsporum, will resonate under the light.
Direct microscopic examination involves obtaining scales and skin scrapings from the lesion area using a scalpel or a moist cotton tip. This sample is placed onto a slide and mixed with a chemical solution (potassium hydroxide) to dissolve the skin cells. Sometimes the slide is gently warmed or another chemical, dimethyl sulfoxide, is added to speed up this process. Fungal stains may be used to make it easier to see the fungus under the microscope. The result will show fungal filaments, like tiny rod-shaped branches, and spores, known as arthroconidia, which confirms the diagnosis.
In some cases, a fungal culture can be done, where the skin scrapings and hair samples are placed into a special growth medium to cultivate the fungus. It typically takes one to two weeks for the fungus to grow, and if no growth is seen for 21 days, the culture is considered negative. Although fungal cultures can take time and be more costly, they can be more precise in identifying the fungus compared to direct microscopy. This method can assist in tailoring the treatment process but isn’t always required before antifungal treatment can begin.
For more complex cases where results aren’t conclusive with previous tests, a skin biopsy can be performed and examined under a microscope. A pathologist looks for signs like fungal structures, inflammation changes, and the presence of folliculitis, perifolliculitis, and microabscesses. More advanced DNA-based testing techniques exist, but these are currently expensive and used mostly in research centers.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
What are the Treatment Options for Tinea Barbae?,"Tinea barbae, a skin infection affecting bearded areas of the face and neck, is primarily treated with oral antifungal medicines. While topical treatments can be applied to the skin, these are typically used alongside oral medications, not as the main treatment.
Effective oral antifungal medicines for tinea barbae include terbinafine, azoles, and griseofulvin. In the past, griseofulvin was often the preferred choice, but it’s now used less due to its side effects, the potential for drug resistance, the requirement for long-term treatment, and a higher likelihood of the infection returning due to the medicine quickly leaving the skin.
Previous treatment plans with griseofulvin often lasted for 12 weeks. However, more recent reports have shown that tinea barbae can be effectively treated with terbinafine and azoles within 4 to 6 weeks. Even once the skin lesions are resolved, some experts suggest continuing treatment for an additional 2 to 3 weeks.
You should be aware that common side effects for terbinafine and azoles can include nausea, abdominal pain, diarrhea, rash, elevated enzyme levels in the liver, and visual disturbances. So, if you are prescribed these medicines, periodic checks of your liver, kidney, and blood functions may be recommended. You should also be mindful of potential interactions between these antifungal medications and other drugs that are broken down in the liver.
If a secondary bacterial infection is suspected, oral or systemic antibiotics may be required. The use of steroid treatments and other topical agents, such as selenium sulfide, is less clear and is typically decided on a case-by-case basis. In rare instances, surgery could be an option, though draining infections through an incision is not usually recommended.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
What else can Tinea Barbae be?,"Tinea barbae, an uncommon condition that affects the beard and mustache area, is often mistaken for more frequently occurring conditions. These might include bacterial folliculitis, perioral dermatitis, pseudofolliculitis barbae, contact dermatitis, herpes simplex, sporotrichosis, acne vulgaris, acne rosacea, and even rare cases of neoplasm. Understanding the distinguishing characteristics of these conditions can help with earlier diagnosis of tinea barbae.
For instance, bacterial folliculitis caused by Staphylococcus species or other bacteria can be differentiated from tinea barbae. This, if systemic symptoms like fever and malaise are present and there is a prevalence of regional lymphadenopathy. Plus, removing hair is painless in the case of tinea barbae, unlike with sycosis barbae. Pseudofolliculitis barbae, caused by shaving irritation, is bilateral and diffuse, contrasting with tinea barbae’s presentation. And, candidal infections, unlike tinea barbae, affect adjacent mucosal surfaces.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
What to expect with Tinea Barbae?,"Tinea barbae, a rare type of skin fungal infection, hasn’t been widely reported with only a few hundred known cases in the medical literature. Many of these recorded instances of tinea barbae have been individual accounts or small collections of cases.
Despite the limited amount of data on this condition, it is encouraging to note that nearly all reported cases have shown a positive response to treatment with oral antifungal medication, resulting in complete healing.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
What are the Possible Complications When Diagnosed with Tinea Barbae?,"Other than health issues and the costs related to the treatment, there have not been any major complications reported in medical studies or documents.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
How can Tinea Barbae be prevented?,"Tinea barbae is a contagious skin infection that you can catch from humans or animals, either through direct touch or indirect contact like using the same items. If you’re diagnosed with tinea barbae, it’s important to figure out how and where you got it. It’s suggested to check yourself and your family members for similar skin infections like tinea capitis (a fungal infection of the scalp), tinea pedis (known commonly as athlete’s foot), and onychomycosis (a fungal infection in the nails).
It’s also a good idea to have any pets or farm animals checked for similar infections by a veterinarian. This can prevent the infection from coming back. To avoid spreading the infection among family members, avoid sharing personal items like combs, brushes, and hats.",National Library of Medicine - NIH (National Institutes of Health),Tinea Barbae atau kurap jenggot
What is Ring Worm?,"Tinea capitis, also known as ringworm or herpes tonsurans infection, is a type of fungal infection that affects the hair on the scalp. This condition is primarily caused by fungal species called Microsporum and Trichophyton. These fungi can get through the outer layer of the hair follicle and may even reach the actual hair shaft.
We can classify tinea capitis into two types: inflammatory and non-inflammatory. The non-inflammatory variety doesn’t usually lead to scarred hair loss. However, the inflammatory variety can cause a painful condition with pus-filled lumps, called a kerion, as well as scarred hair loss.
Tinea capitis mainly affects children between the ages of 3 and 14, but anyone can get it. The infection can also spread to the eyelashes and eyebrows.",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
What Causes Ring Worm?,"Tinea capitis, also known as a scalp infection, is caused by a fungus that can infect keratin, which is a type of protein found in our hair. These fungi, known as dermatophytes, include several types, such as Trichophyton, Microsporum, and Epidermophyton. Common types of this fungus include Trichophyton Sudanese, Trichophyton tonsurans, Trichophyton verrucous, Trichophyton rubrum, and Microsporum canis.
You can get this infection in a few different ways:
– Direct contact with people who have the infection (Anthrophilic organisms)
– Direct contact with infected animals (Zoophilic organisms)
– Contact with infected soil (Geophilic organisms)
– Indirect contact through items that an infected person or animal has touched, such as hats and hairbrushes, etc.",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
What are the Risk Factors and Frequency for Ring Worm?,"Tinea Capitis is a widespread skin condition that can be found across the globe. It’s particularly common in hot and humid climates, such as those found in Africa, Southeast Asia, and Central America. Whether the condition tends to occur more in one sex depends on the specific type of fungus causing it. For example, infections caused by the fungus Trichophyton affect both girls and boys equally during childhood, while those caused by Microsporum canis occur more often in boys. However, Tinea Capitis mostly impacts children instead of adults.
- Tinea Capitis is a widespread skin condition seen worldwide.
- It is particularly common in hot, humid climates like Africa, Southeast Asia, and Central America.
- The sex prevalence varies depending on the type of fungus causing the infection.
- Trichophyton infections usually affect both boys and girls equally in their childhood.
- Boys are more likely to be affected by Microsporum canis.
- The condition usually affects children more than adults.",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
What are the Signs and Symptoms of Ring Worm?,"Tinea capitis, commonly known as scalp ringworm, often affects children. If your child has this condition, you may learn about other affected children from the same school, as it could suggest how the infection is spreading. It initially shows up as small red spots that grow over time and can eventually spread to cover the entire scalp. The skin on the scalp might look normal near the center of the round patch but may appear red and inflamed at the edges. Symptoms of tinea capitis include redness, itching, flaky skin and hair loss.
The appearance of scalp ringworm can vary greatly, depending on the specific organism causing it. In some cases, it may look like severe dandruff scattered on the scalp. Other infections can cause areas of hair loss. A severe, inflammatory type of scalp ringworm, known as kerion, results in pus and could lead to permanent hair loss. This type can also spread to the eyelashes and eyebrows. Swelling of the neck lymph nodes is common with kerion.
Tinea capitis can show up in three ways:
- “Black dot” tinea capitis: This is seen as an infected area with broken hairs.
- Kerion: This is a severe type causing inflammation that can progress to scarred, permanent hair loss.
- Favus: This manifests as deep, oozing nodules, abscesses, crusty areas, and a condition known as scutula.
Sometimes, people can have an id reaction or idiosyncratic reaction to the fungus causing the infection. This reaction can result in itchiness, blisters, often in the area of the feet, or skin redness and inflammation, typically found away from the site of infection. It is usually brought on by antifungal treatment.",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
How is Ring Worm tested?,"If a doctor suspects a patient has tinea capitis, a type of scalp fungal infection, they might take a sample from the scalp to confirm. This could involve using a swab, removing a small piece of skin (biopsy), or scraping off some skin cells. The collected sample is then put on a glass slide, had a solution (KOH 20%) added to it, and inspected under a microscope. The doctor will be looking for signs of fungal elements like hyphae and spores.
Another technique called ‘Woods light’ might also be used. This involves shining a special type of light onto the scalp, which makes certain types of fungi glow specific colors. For instance, if the fungus M. canis, M. audouinii, M. rivalieri, or M. ferrugineum is causing the infection, their presence will make the hair glow green or yellow-green. If T. schoenleinii is the culprit, the light will appear blue. However, it’s important to note that not all types of this infection will glow. Tinea capitis caused by T tonsurans, for example, usually doesn’t show up under Woods light.",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
what are the Treatment Options for Ring Worm?,"Tinea capitis, a type of fungal infection, can be treated with certain medications. Griseofulvin is commonly used, and the treatment usually lasts for 4 to 8 weeks. However, topical treatments aren’t recommended as they aren’t effective.
Other treatment options include antifungal medications like itraconazole and fluconazole. If the infection presents as a ‘kerion’, which is a severe form of tinea capitis, additional treatments like short-term systemic steroids may be needed. These steroids reduce inflammation and can help prevent permanent hair loss. They are given alongside other oral antifungal treatments. Terbinafine, an allylamine, can also be taken orally as a part of the treatment.
Using antifungal shampoos can be beneficial as a part of the treatment plan, mainly to help stop the infection from spreading. However, they aren’t enough to treat tinea capitis on their own. Creams can also be used to reduce the spread of the infection, but they can’t cure it completely.",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
What else can Ring Worm be?,"When a doctor is diagnosing skin conditions, there are several possibilities they might consider. These can include but are not restricted to:
- A specific type of skin infection known as dissecting folliculitis
- Cellulitis, a common bacterial skin infection
- Bacterial folliculitis, which is inflammation of the hair follicles caused by bacteria
- Secondary syphilis, a stage of the sexually transmitted disease syphilis
- Abscesses, which are painful pockets of pus that can form in many parts of your body
- Infected eczema, where eczema skin becomes infected
- Pyoderma, a group of skin infections that are usually caused by bacteria
- Pustular psoriasis, a rare form of psoriasis that causes pus-filled blisters
- Syphilis, another stage of the sexually transmitted disease syphilis
- Seborrheic dermatitis, a common skin condition that mainly affects your scalp
- Systemic lupus erythematosus, an autoimmune disease that can damage any part of the body
- Drug eruption reaction, which is a skin reaction to a drug
By checking for these conditions and conducting necessary tests, the doctor can make an accurate diagnosis.",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
What to expect with Ring Worm?,"With proper treatment, tinea capitis (a type of scalp infection) generally has a positive outcome. However, if left untreated, an abscess (also known as a kerion) may develop. The infecting fungi can release spores for several months, which can spread the disease. One common reason for treatment not being effective is patients not taking their medication as prescribed. Nevertheless, early and appropriate treatment of tinea capitis usually results in a good outcome.",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
What are the Possible Complications When Diagnosed with Ring Worm?,"Some issues people deal with due to hair loss are:
- Hair loss itself
- Loss of self-esteem and mockery from others
- Emotional problems in children",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
How can Ring Worm be prevented?,"It’s crucial to test everyone living in the same house for tinea capitis, a type of skin infection. Even if they don’t show any symptoms, they should still receive treatment. If not, the infection will keep spreading.
Using special shampoo that fights fungus or contains selenium is typically recommended for a duration of 2 to 4 weeks. It’s also important to inform school teachers about tinea capitis so they can take precautions, like seating infected students away from healthy students. Avoiding the sharing of personal items like combs or hairbrushes can also help stop the infection from spreading.",National Library of Medicine - NIH (National Institutes of Health),Tinea Capitis atau Ring Worm
What is Tinea Cruris?,"Tinea cruris, commonly known as jock itch, is an infection that affects the skin around the genitals, pubic area, area between the anus and genitals (perineal), and the area around the anus (perianal). The infection is caused by certain types of harmful fungi, called dermatophytes, that can impact parts of the skin and hair that contain keratin, a type of protein. Dermatophytes can create a noticeable rash on the skin.
Areas of the body where skin rubs against skin, also known as intertriginous areas, are more prone to these types of fungal infections. Factors like sweating, skin softening (maceration) and alkaline pH levels, which refer to the balance between acidity and alkalinity on skin, can cause the groin area to be particularly susceptible to infection.
Although tinea infections are typically identified by the part of the body that’s affected, they’re also categorized based on how the fungi are primarily spread. There are three types in particular: geophilic, zoophilic, and anthropophilic. These types of fungi are found and spread through soil, animals, and humans, respectively. It’s important to know that these fungi can also spread from one part of the body to another in the same person. This is particularly relevant in the case of jock itch, as the infection can spread from foot to groin.",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
What Causes Tinea Cruris?,"Tinea cruris, often called jock itch, is caused by a type of fungus known as dermatophytes. These dermatophytes belong to three families – Trichophyton, Epidermophyton, and Microsporum. The most common one to cause jock itch is Trichophyton rubrum, but research also shows an increase in instances caused by Trichophyton mentagrophytes and other organisms, particularly in certain parts of the world.
Certain factors can make a person more likely to get jock itch. These include excessive sweating, wearing tight clothing that doesn’t breathe, not washing properly, having diabetes, having a weakened immune system, or being in a lower income bracket.
People who play sports, especially contact sports, may also be at higher risk for jock itch. Your genetic makeup can also make you more likely to get this type of fungus. Of all the factors that contribute to jock itch, sweating seems to be the most influential.
In India, where jock itch seems to be more common and harder to treat, a study was conducted to understand why. The study found that people with diabetes, individuals with family members who had jock itch, and people who cooked meals were all more likely to have recurring and long-lasting jock itch.",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
What are the Risk Factors and Frequency for Tinea Cruris?,"Cutaneous mycoses, which include a condition called tinea cruris, impact approximately a quarter of the world’s population. Regions with higher temperatures and humidity, such as developing and tropical countries, often see an increased number of these skin infections. For instance, in the United States, a reported 29.4 million cases of superficial fungal infections have been noted, leading to over 51 million doctor’s visits.
- Adolescent and adult males make up most of the patients with tinea cruris.
- They, in particular, seem to get this disorder more often.
- There is a growing concern worldwide about an increase in these skin infections.
- This is especially true given the discovery of infections that are tough to treat.",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
What are the Signs and Symptoms of Tinea Cruris?,"Tinea cruris is a type of skin infection that often results in a rash in the groin area. It can be irritating and even painful, especially if the skin gets excessively wet, or if there are other infections in the same area. Its symptoms can last for different lengths of time, may have happened before, can appear elsewhere on the body, and might have been treated in the past. Certain health conditions, such as diabetes, weakened immune system, kidney disease, or liver problems, can make a person more susceptible to this infection. Other factors like sweaty skin, changes in clothing, personal hygiene habits, or exposure to possibly contaminated soil, animals, or other people assist in its contraction.
During a physical examination, the doctor can usually see a red, scaly, ring-shaped spot that has a prominent border and clear center. This rash might spread from the groin to places like the upper thigh, the region between the thighs, or even the rectal area.",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
How is Tinea Cruris tested?,"Tinea cruris, also known as ‘jock itch’, is a type of fungal infection usually diagnosed through a visual inspection by a doctor. However, when the cause of a groin rash is unclear, several tests are available. These include a potassium hydroxide (KOH) preparation test, a skin biopsy with a periodic acid-Schiff (PAS) stain, and fungal cultures on a medium known as Sabouraud’s agar. These tests are especially useful if your doctor isn’t sure about the diagnosis, or if the rash keeps coming back or is hard to treat.
In order to do these tests, a sample is taken from the edge of the rash. The idea is to pick up infected skin flakes for examination. Typically, this is done by using a scalpel to scrape off a bit of skin. But new research suggests that using an adhesive tape method might have some benefits. It may make collecting the sample easier, help with transportation of the sample, get a better quality sample, and keep the sample preserved longer on the slide for analysis.",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
What are the Treatment Options for Tinea Cruris?,"Antifungal medications are typically used to treat skin infections caused by fungi, also known as dermatophytoses. These medications work by targeting a crucial part of the fungi’s cell structures, known as ergosterol. Even though treatment processes are generally similar across the world, specific regions may have unique guidelines based on the main types of fungi present in those areas. Medication that is applied directly to the skin, or topical treatment, is usually the preferred choice.
The two main classes of topical medications used are allylamines (e.g., terbinafine, butenafine, naftifine), and azoles (e.g., clotrimazole, miconazole, sulconazole, oxiconazole, econazole, ketoconazole). The choice of medication depends on several factors, such as the patient’s ability to follow the treatment, the cost of the medication, and its accessibility. Allylamines may require a shorter treatment timeframe and have been found to cause fewer relapses, while azoles can be more cost-effective but might require longer use for effective treatment.
Ciclopirox olamine is an older topical preparation with a unique way of targeting and fighting the fungi compared to commonly used allylamines and azoles. Although recent studies have shown various benefits of using ciclopirox, it is not commonly utilized.
Oral antifungal medications are also available for the management of dermatophytoses. They are especially useful in cases where the infection is chronic, recurrent, stubborn, or when the patient’s immune system is weakened. The most commonly prescribed oral medications are terbinafine and itraconazole due to their effective absorption and minimal drug interactions. Other medications, such as fluconazole and griseofulvin, are not as preferred due to their weaker adherence to the skin protein, keratin, and longer treatment periods. Oral ketoconazole is not recommended due to its potential for liver toxicity.
Topical and oral antibiotics can also be used in conjunction with antifungal treatments when a secondary bacterial infection is present.
There are some controversial and alternative treatments available as well, like the use of an ointment called Whitfield’s, topical corticosteroid, and antifungal therapy. While some studies suggest that combination therapy with steroids and antifungal creams may improve cure rates, these results have not been widely accepted due to low-quality evidence and potential complications. Currently, topical steroids are not recommended as part of a tinea cruris (jock itch) treatment regimen.",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
What else can Tinea Cruris be?,"When trying to diagnose “tinea cruris”, a skin fungus that affects the groin area, doctors might also consider other skin conditions that can look the same. These include:
- Candidiasis
- Erythrasma
- Psoriasis
- Seborrheic dermatitis
Candidiasis, another type of fungal infection, is often seen in women. In men, it may also affect the scrotum and penis. This condition often presents with patches of skin irritation and ‘satellite’ spots around the rash, and there’s no clear center in the rash – all signs that it may be candida and not tinea cruris. Erythrasma, on the other hand, has a rash that doesn’t have an active border and it glows a coral-red color under a special light used for skin examinations, known as a Wood lamp.
Psoriasis might be another cause, but it usually also affects other areas of the body, not just the groin. Finally, seborrheic dermatitis can present with oily scales on a reddish skin patch.",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
What to expect with Tinea Cruris?,"People suffering from tinea cruris, often known as jock itch, usually see success rates of 80 to 90 percent when they undergo the correct treatment.",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
What are the Possible Complications When Diagnosed with Tinea Cruris?,"Tinea cruris, a type of fungal infection, can be difficult to treat, and there is a high chance of it coming back. This can happen due to re-exposure from personal contacts, transferring the infection from another part of your body, infection by rare species such as animal-borne infections, misdiagnosis, drug resistance, or lack of adherence to the treatment plan. Use of steroidal creams might hide the symptoms of tinea cruris, making it harder to diagnose, and prolonged use can cause skin thinning and dilation of small blood vessels on the skin’s surface. Secondary bacterial infections can also result from tinea cruris.
In summary, complications of Tinea Cruris could include:
- Recurrence of infection
- Hidden symptoms due to steroid use
- Skin thinning and dilation of small blood vessels
- Secondary bacterial infection
- Majocchi’s granuloma—an uncommon ailment that causes a deep, inflammatory disease due to fungal infections breaching into the subcutaneous tissue. This can result from skin damage, lower body immunity, or topical steroid use condition
- A dermatophytid reaction—an allergic response happening at a different location from the original infection site",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
How can Tinea Cruris be prevented?,"When it comes to treatment and prevention of tinea cruris, also known as jock itch, it’s helpful to focus on measures that don’t involve medication. Things like wearing loose, comfortable clothes can help, and it’s recommended not to put on clothing until the skin underneath is fully dry.
Because jock itch can sometimes be spread from foot fungus (tinea pedis), walking barefoot should be avoided. Wearing protective shoes in public places can provide a safeguard against catching the infection.
Identifying and treating any contacts — be they human or pet — who might also be infected is a key step in stopping the spread. It’s important to avoid self-treating jock itch with over-the-counter antifungal creams or steroid creams. This can make the infection harder to get rid of and could also make it harder for a doctor to properly diagnose the condition.",National Library of Medicine - NIH (National Institutes of Health),Tinea Cruris atau jock itch
